experiment_id,parent_experiment_id,strategy_version,strategy_hash,parameter_hash,hypothesis,status,date_decided,development_window,validation_window,holdout_window,pairs,fees,trade_count,net_return,profit_factor,sharpe,max_drawdown,reason_accepted_or_rejected,notes,change_summary,acceptance_criteria,result_summary,decision,lessons,next_experiment
V12.14-FIRST-LOSS-PAIR-PAUSE,V12.12-LIQUID-UNIVERSE,V12.14,0141348dda98810508f23e6c1b63ed19fb9f5e384841b35a4d49f84d870a77f2,first_loss_pair_pause_same_14d_72h,"Pausing only the affected pair after its first unprofitable trade instead of its second should shorten loss clusters and improve shared-wallet slot quality without clipping open trend winners",REJECT_BACKTEST,2026-08-22,"same locked 3y window as V12.12 and V12.13","combined six-pair 250-USDT portfolio at 1m detail","not promoted; fresh forward dry-run required","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT",0.002,113,241.4005,2.2603,0.3705,11.96,"REJECT - EARLIER PAUSE REDUCED LOSS COUNT BUT STARVED VALID FOLLOW-UP TRENDS","Run 20260822T123801Z-715d5a9e passed exact file/process/candle audit. Final balance 491.401 USDT, 18 wins/95 losses, capital-time 20.70%, no-position 65.87%, max three simultaneous positions. SOL turned negative at -5.460 USDT.","Restored the complete V12.12 BTC/ETH reclaim and six-pair signal logic. Changed only pair-local LowProfitPairs trade_limit from 2 to 1; 14-day lookback, 72-hour pause, exits and all risk limits remained unchanged.","Formal audit pass; profit >288.646 USDT; PF >=2.4833; fewer than 100 losses; closed DD <=10%; wallet DD <15%; capital-time >=22%; no-position <=63%; all six pairs positive; all parity and safety tests pass.","Only audit and fewer-than-100-losses gates passed. Profit, PF, drawdown, utilization, no-position time and all-pairs-positive gates failed.",REJECT_DO_NOT_PROMOTE,"A first-loss 72h pause is too aggressive for this sparse trend system. It removed five losses versus V12.12 but also reduced capital-time by 2.91 points, missed useful follow-up trends, increased drawdown and made SOL negative. Pair locks must not be tightened globally.",V12.15-LATE-PROFIT-RATCHET
V12.15-LATE-PROFIT-RATCHET,V12.12-LIQUID-UNIVERSE,V12.15,3c5aaf823e16c1a2901c4861fcf6dbc21da4dd0f1314385d78be1f2de86c4a97,champion_profit_30_to_floor_5,"A late profit ratchet only after champion Donchian trades reach +30% should prevent complete trend roundtrips while preserving normal volatility and the rare +50% ROI winners",ACCEPT_DRY_RUN_CANDIDATE,2026-08-22,"same locked 3y window as V12.12 through V12.14","combined six-pair 250-USDT portfolio at 1m detail","exact tested source promoted to active paper/dry-run candidate; no real-money release","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT",0.002,122,295.4093,2.5554,0.4498,8.19,"ACCEPT - ALL PREREGISTERED STRATEGY AND AUDIT GATES PASSED","Run 20260822T125812Z-68ac18a2: final balance 545.409 USDT, 23 wins/99 losses, capital-time 23.07%, no-position 61.33%, all six pairs positive. Exact source, configs, 24 candle sets and no child processes passed the formal audit.","Restored exact V12.12 signals and LowProfitPairs trade_limit 2. Added only a champion_donchian custom stop: activate at current_profit >=30% and set a +5% floor from entry; reclaim trades are excluded.","Formal audit pass; profit >288.646 USDT; PF >=2.4833; closed DD <=10%; capital-time >=22%; no-position <=63%; all six pairs positive; no destruction of the V12.12 ROI winner source; all parity and safety tests pass.","All gates passed: +6.763 USDT versus V12.12, PF +0.0721, drawdown -1.43 points, six positive pairs, 8 ROI winners versus 7, and formal audit pass.",PROMOTE_EXACT_TESTED_DRY_RUN_CANDIDATE,"The +30% to +5% champion-only floor was late enough to preserve the trend tail. Three ratchet exits were positive. Dynamic chronology created a second SOL ratchet and an eighth ROI winner; the net result therefore improved more broadly than the two-trade path diagnostic, while capital-time stayed above the gate.",FRESH_FORWARD_DRY_RUN_AND_NONIDENTICAL_VALIDATION
V12.16-ADA-LIQUID-UNIVERSE,V12.15-LATE-PROFIT-RATCHET,V12.16,9ad6f3e96d0f440a8a9cf4029cb6f64b7f6b73aba6ab524310f192797c1b6acf,add_ada_broad_core_unchanged,"Adding one preregistered mature liquid spot pair with unchanged broad-core rules should create independent opportunities and increase shared-wallet utilization without degrading V12.15 quality",REJECT_BACKTEST,2026-08-22,"same locked 3y window as V12.15","combined seven-pair 250-USDT portfolio at 1m detail","not promoted; exact V12.15 active source restored","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;ADA/USDT",0.002,122,298.1350,2.5356,0.4536,11.84,"REJECT - PROFIT FACTOR DRAWDOWN ALL-PAIRS AND ORIGINAL-CORE GATES FAILED","Run 20260822T202801Z-699e3b83: final balance 548.135 USDT, 24 wins/98 losses, capital-time 24.37%, no-position 60.50%. Exact source, configs, 28 candle sets and no child processes passed the formal audit.","Added only ADA/USDT to whitelist, allowed-pair and unchanged broad Donchian routing; all entry thresholds, exits, stops, protections, 250/80/3 capital contract and BTC/ETH reclaims remained unchanged.","Formal audit with exactly 28 candle sets; profit >295.409 USDT; final balance >545.409 USDT; PF >=2.5554; closed DD <=10%; capital-time >23.07%; no-position <61.33%; all seven pairs positive; original six aggregate >=288.646 USDT; ROI source retained; all tests pass.","Profit and utilization gates passed, but PF was 2.5356, drawdown 11.84%, SOL -1.025 USDT, and the original six produced only 270.326 USDT. ADA itself added +27.809 USDT; eight ROI exits remained +320.270 USDT.",REJECT_RESTORE_V12_15,"A positive added pair can still degrade the shared-wallet portfolio by occupying scarce slots and changing protection chronology. ADA displaced more valuable XRP/SOL opportunities; headline profit alone is insufficient.","Keep exact V12.15 active. Do not retry ADA with tuned thresholds on the same window; use fresh forward evidence or a separately preregistered non-identical hypothesis."
"V12.17-TEN-PAIR-THREE-CHUNK-PAPER","V12.15-LATE-PROFIT-RATCHET","V12.17","772084097ef718603dfe7eae06b9318efee9ee8bf9f90dc22fdd76f525ab0f0b","ten_pair_plus_signal_gated_position_adjustment","Expanding V12.15 to ten Spot pairs and allowing later signal-gated 80-USDT chunks should increase opportunity use while preserving one shared 250-USDT budget.","IMPLEMENTED_AUDIT_AND_DESIGN_REJECTED","2026-08-23","implementation and isolated 3y diagnostics ending 2026-08-23","one audited GitHub LINK 3y result; local BTC financial output failed the old venv audit","not promoted; no complete ten-pair shared-wallet result","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002","","","","","","REJECT AS COMPLETE SYSTEM CANDIDATE","LINK 3y ended at 308.9942 USDT with 30 trades and 26.02 percent drawdown. A local BTC 3y calculation produced output but its file audit failed on dependency reads; ETH was interrupted. The ten-pair matrix and real shared-wallet portfolio were not completed.","Added LINK TRX LTC and BCH to the six-pair core and enabled up to three same-pair signal-gated chunks without a profit or price guard.","Every coin requires independent 1y to 3y evidence and one real ten-pair shared 250-USDT portfolio; no loss averaging; exact file and candle audit; maximum three active 80-USDT chunks.","Incomplete evidence and an unsafe code path could add to a losing trade. The UI mislabeled ten independent wallets as the all-ten action.","REJECT_REPLACE_WITH_V12_18","A new signal alone does not prove that another entry is pyramiding; profit and higher-fill guards must be explicit. Independent-pair tests cannot replace the shared-wallet system test.","V12.18-TEN-PAIR-PROFIT-PYRAMID-REPAIR"
"V12.18-TEN-PAIR-PROFIT-PYRAMID-REPAIR","V12.17-TEN-PAIR-THREE-CHUNK-PAPER","V12.18","ce0dc4938a365c593a4e06589f910b4c3b2a86020f6903b92bc1dbcca7f11fb4","profit_only_higher_fill_pyramiding","Requiring every additional same-pair chunk to be in an already profitable position and above every earlier fill should preserve legitimate pyramiding while making loss averaging impossible.","TECHNICAL_REPAIR_VALIDATED_FINANCIAL_GATES_PENDING","2026-08-23","fresh selected 1y 2y and 3y pair tests plus shared portfolio windows","real ten-pair one-wallet portfolio with exact 1m detail and file audit","paper and dry-run only; real-money overlay remains blocked","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",3,-1.8586,0.0,,0.74,"TECHNICAL GATES PASS; BTC 1Y FINANCIAL DIAGNOSTIC NEGATIVE; PORTFOLIO DECISION PENDING","Run 20260823T174151Z-5048432d covered 365 days at 1m detail. BTC ended at 248.1414 USDT with 3 losing trades, no additional entry, 0.09 percent capital-time, 99.73 percent no-position time and a passed exact source/config/process/four-candle audit.","Kept the V12.17 signal and exit core; added profit-only and above-all-prior-fills guards for extra chunks; exposed the real ten-pair shared-wallet backtest; added chunk and per-pair result attribution; corrected delayed-chunk capital-time accounting and stale-session visibility.","Exact tests and audit pass; each selected pair can run with its own 250 USDT for 1 to 3 years; PORTFOLIO runs all ten against one 250-USDT wallet; no more than three active chunks or 240.05 USDT measured exposure; no added chunk at nonpositive profit or at or below a prior fill; complete results are recorded without duplicate reruns.","Implementation and formal BTC 1y smoke audit passed, but BTC 1y lost 1.8586 USDT and cannot support a profitability claim. The shared ten-pair financial result remains pending.","KEEP_PAPER_ONLY_CONTINUE_NONIDENTICAL_GATES","System equivalence requires the real shared-wallet target and order-fill-aware utilization metrics. A visible process heartbeat prevents a long data phase from being mistaken for a frozen bot. The sparse negative BTC year confirms that technical correctness and profitability are separate gates.","Do not repeat BTC 1y fingerprint ac857d20608e391c35d9aec4e14e94f13e1dca33666a0e7b3414c83b9666f57a; next run the missing pair windows and real shared-wallet portfolio."
"V12.19-PERSISTENT-PAIR-LEARNING-FAST-BACKTEST","V12.18-TEN-PAIR-PROFIT-PYRAMID-REPAIR","V12.19","6f0a006a7c459a165105ddf245222d99b27961acfd5ccde47b46181534f256ce","backtest_cadence_15m_readonly_callbacks_durable_batch","Evaluating position adjustment only when its 15m signal can change and persisting every pair result should preserve V12.18 decisions while restoring practical runtimes and preventing lost or repeated ten-pair work.","TECHNICAL_RUNTIME_ACCEPTED_TEN_PAIR_FINANCIAL_REJECT","2026-08-24","profile plus exact BTC A/B and full 3y parity ending 2026-08-23","exact ten-pair shared 250-USDT portfolio on the preserved 3y data","not promoted; replaced as paper strategy by V12.20","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",133,105.9345,1.3069,,32.78,"KEEP RUNTIME REPAIR; REJECT UNRESTRICTED TEN-PAIR PYRAMID STRATEGY","The missing shared run ended at 355.9345 USDT with 19 wins and 114 losses. SOL -74.10, BCH -35.37, DOGE -34.99, LTC -12.74 and XRP -2.64 USDT were negative. The technical BTC speed and parity evidence remains valid.","Kept all V12.18 entry and exit decisions; gated backtest-only pyramid evaluation to 15m strategy boundaries; removed redundant Trade deep copies only for tested read-only callbacks; added durable server-side ten-pair batches and pair-specific before/after learning files.","Exact detail-candle exits and safety tests pass; runtime improves materially; every completed pair persists its history; the real ten-pair portfolio must not materially degrade the six-pair reference.","Runtime speed and BTC parity passed, but the complete shared ten-pair result produced only +105.9345 USDT, PF 1.3069 and 32.78 percent closed drawdown.","KEEP_INFRASTRUCTURE_REPLACE_STRATEGY_WITH_V12_20_PAPER","The slowdown fix and durable histories are independent of the failed unrestricted pyramid allocation. Allowing every pair to add chunks magnified weak pairs and scarce-slot displacement.","V12.20-SELECTIVE-PYRAMID-ELIGIBILITY"
"V12.20-SELECTIVE-PYRAMID-ELIGIBILITY","V12.19-PERSISTENT-PAIR-LEARNING-FAST-BACKTEST","V12.20","8eb1ad98e3cf13ea05c9c7f6dfb7c4b50b425741d3e225116e3b29f80391a3fb","fixed_pair_pyramid_eligibility_from_complete_v12_18_matrix","Allowing later 80-USDT chunks only for BTC ETH LINK and TRX should retain the demonstrated profitable pyramids while preventing negative extra-block expectancy and scarce-slot displacement in SOL XRP BNB DOGE LTC and BCH.","KEEP_TEN_PAIR_PAPER_DIAGNOSTIC_FORMAL_GATES_INCOMPLETE","2026-08-24","complete V12.18 ten-pair individual matrix and exact V12.19 shared comparator","exact same-candle V12.20 ten-pair individuals and one shared 250-USDT portfolio","paper and dry-run only; shorter slices and forward evidence required","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",135,279.5931,2.0114,,16.07,"KEEP AS BETTER TEN-PAIR PAPER CANDIDATE - NOT CHAMPION OR REAL MONEY","Ten independent diagnostics improved from +228.49 to +475.59 USDT. Against the exact shared V12.19 comparator, profit improved by +173.6586 USDT, trades rose from 133 to 135, PF improved from 1.3069 to 2.0114 and drawdown fell from 32.78 to 16.07 percent. SOL LTC and BCH remained negative.","Kept every first-entry signal exit stop protection fee and capital ceiling unchanged; added only a fixed PYRAMIDING_PAIRS eligibility set containing BTC ETH LINK and TRX.","Disabled pairs must have zero extra chunks; the exact shared result must materially improve V12.19 profit PF drawdown and trade count; no safety regression; the V12.15 six-pair reference remains a separate higher promotion gate.","The real shared ten-pair wallet ended at 529.5931 USDT with 135 trades, 24 wins, 111 losses and 159 entry chunks. It decisively improved every V12.19 system metric but remained below V12.15 profit and PF and above its drawdown; the independent matrix lost six trades.","KEEP_AS_TEN_PAIR_PAPER_CANDIDATE_NOT_CHAMPION","Selective pyramiding repairs the dominant ten-pair allocation error without claiming that weak first-entry routes are solved. Paper evidence must continue pair by pair; no real-money promotion follows.","Run official V12.20 1y 2y and 3y pair histories plus forward paper. Improve SOL LTC and BCH with one new preregistered hypothesis each; do not repeat the rejected V12.21 volume threshold."
"V12.21-PAIR-LOCAL-LTC-BCH-VOLUME100","V12.20-SELECTIVE-PYRAMID-ELIGIBILITY","V12.21","53642d7cddd1b55d66462c83d87d4093f428a9f797aee95c5f389f34541c8b1d","ltc_bch_execution_volume_ratio_gte_1_00","Reusing the established 1.00 execution-volume floor only for LTC and BCH should reject their weakest low-participation false breakouts while retaining actual trading opportunities and freeing shared-wallet slots for stronger signals.","REJECT_BACKTEST_SYSTEM_GATE","2026-08-24","V12.20 same-candle attribution ending 2026-08-23","exact same-candle LTC BCH individuals plus full ten-pair shared 250-USDT portfolio","not promoted; future slices remain unused","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",136,275.8369,1.9862,,15.06,"REJECT - LOCAL GAIN DID NOT SURVIVE SHARED WALLET CHRONOLOGY","LTC improved from -45.01 to -24.24 USDT and BCH from -24.25 to -23.57 in isolated tests with eight trades each. The shared portfolio fell from V12.20 +279.59 to +275.84 USDT; PF fell from 2.0114 to 1.9862 and DOGE turned negative.","Retained V12.20 selective pyramiding and every other rule; added only volume_ratio >= 1.00 to the existing LTC and BCH Donchian execution qualification.","Both LTC and BCH must still trade; their combined individual P/L must improve by at least 20 USDT; shared profit PF and drawdown must all improve over V12.20; every previously positive shared pair stays positive; unrelated isolated pair behavior and all safety tests remain unchanged.","The isolated combined P/L improved by +21.44 USDT and closed drawdown improved by 1.01 points, but shared profit and PF fell and the all-positive preserved-pair gate failed.","REJECT_DO_NOT_PROMOTE","Filtering two weak pairs changes which other trades receive the three scarce slots; isolated improvement is not portfolio evidence.","Restore exact V12.19 and complete its previously missing ten-pair shared-wallet comparator before selecting another candidate."
"V12.22-SOL-ADX21","V12.20-SELECTIVE-PYRAMID-ELIGIBILITY","V12.22","f7aac4afe8204aa7ce28a4a2bbf1d3c579ff4f084effa8bbff1c78ad8e9d2caf","sol_adx_4h_gte_21_only","Requiring only SOL's existing Donchian breakout to have 4h ADX at least 21 should remove directionless false breakouts while preserving the V12.20 trend tail and every other pair.","KEEP_BETTER_TEN_PAIR_PAPER_CANDIDATE_FORMAL_UI_AUDIT_PENDING","2026-08-24","V12.20 exact 3y attribution ending 2026-08-24","exact same-candle SOL 3y plus same-candle ten-pair shared 250-USDT portfolio","fresh forward paper and official UI file audit remain required","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",136,280.7752,2.0230,0.38,16.07,"KEEP - EVERY PREREGISTERED FINANCIAL GATE PASSED; FORMAL UI FILE AUDIT STILL PENDING","Exact-source SOL: +8.021 USDT, 23 trades, PF 1.16, DD 12.26%; at 0.3% fee per side SOL stayed positive at +5.064 USDT and PF 1.10. Shared wallet: final 530.7752 USDT, +280.7752, 136 trades, 25 wins, PF 2.0230, DD 16.07%. The direct locked runner reused the exact laptop candle files read-only but did not create the UI file-access manifest.","Retained exact V12.20 and added only SOL/USDT adx_4h >= 21; the rejected V12.7 momentum RSI persistence volume and breakout-strength gates remain disabled.","SOL: at least 15 trades positive PF above 1 and DD below 15.68%; 0.3% fee stress positive; shared profit above 279.5931 PF at least 2.0114 DD at most 16.07%; no previously positive shared pair becomes negative; all safety tests pass.","SOL improved by +10.050 USDT in isolation and remained positive under fee stress. Shared profit improved by +1.1821 USDT, PF by +0.0116 and drawdown was unchanged at displayed precision; every previously positive pair stayed positive.","KEEP_AS_ACTIVE_PAPER_CHALLENGER_NOT_CHAMPION_OR_REAL_MONEY","The SOL ADX gate removes two losing trades without clipping the five winners, but shared-wallet chronology converts only part of the isolated gain. LTC and BCH remain negative and the long-term per-pair target is not reached.","Run official V12.22 UI histories and file audit, then fresh paper-forward evidence. Diagnose LTC next with a separate preregistered hypothesis; do not tune SOL ADX again on this window."
"V12.23-LTC-EMA30-80-MACRO200","V12.22-SOL-ADX21","V12.23","248fdac232c65d3c13b9946059a3932f5ed568d5656cbed0fed729f0d6ec10a0","ltc_4h_ema30_cross_ema80_above_rising_ema200_adx12","Replacing only LTC's all-losing Donchian route with the chronologically selected EMA30/EMA80 cross above a rising EMA200 should create positive expectancy without altering the other nine pairs.","REJECT_BACKTEST_SYSTEM_GATE","2026-08-24","V12.22 exact LTC and shared 3y results plus fixed-family chronological screen","exact LTC 1y and 3y; 0.3-percent fee stress; exact shared ten-pair 250-USDT portfolio","shared portfolio gate after isolated validation","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",154,232.037,1.76,0.36,18.86,"REJECT - ISOLATED LTC GAIN DISPLACED STRONGER SHARED-WALLET SIGNALS","LTC exact 3y +29.245 USDT with 21 trades PF 1.62 DD 9.91%; exact 1y +8.250 with 3 trades PF 3.51; 0.3-percent fee stress +26.098 PF 1.53. Shared LTC became +23.309, but the full portfolio lost 48.738 USDT versus V12.22 and DD rose by 2.79 points.","Replace LTC Donchian entry and exit only; add 4h EMA30 EMA80 EMA200 and ADX12 route; preserve V12.22 SOL and all capital risk protection rules.","LTC 3y at least 12 trades positive PF above 1 DD below 18.01 and at least +40 USDT versus V12.22; LTC 1y positive with at least 3 trades; 0.3-percent fee stress positive; shared profit above 280.7752 PF at least 2.0230 DD at most 16.07; no positive pair turns negative; all safety tests pass.","All isolated LTC gates passed, but shared profit fell from +280.775 to +232.037 USDT, PF fell from 2.023 to 1.76, DD rose from 16.07 to 18.86 percent and stronger pair contributions were displaced.","REJECT_DO_NOT_PROMOTE","A profitable independent route can be harmful when its holding time consumes one of three scarce 80-USDT slots. Shared-wallet chronology is the binding promotion gate.","V12.24: preserve the fixed LTC route but test one new allocation rule requiring zero other open trades at LTC entry so two slots remain available."
"V12.24-LTC-EMPTY-PORTFOLIO-ENTRY","V12.23-LTC-EMA30-80-MACRO200","V12.24","b7a479b70b5dd0b82531ec5f24dcffd8493fdfbb77af1ce902e3d9a8fe08bb0d","ltc_initial_entry_only_when_open_trade_count_eq_0","Allowing the fixed V12.23 LTC route to enter only from an empty portfolio should retain its positive independent expectancy while leaving two later slots for stronger signals and repairing V12.23's shared-wallet displacement.","REJECT_BACKTEST_SYSTEM_GATE","2026-08-24","V12.23 exact isolated and shared attribution compared with V12.22","exact LTC 3y parity plus exact shared ten-pair 250-USDT portfolio","shared portfolio gate after exact LTC parity","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",150,223.457,1.73,0.33,18.47,"REJECT - EMPTY-PORTFOLIO LTC ENTRY SELECTED A LOSING SHARED SUBSET","LTC independent parity passed exactly at +29.245 USDT with 21 trades PF 1.62 DD 9.91%. Shared LTC admitted only nine trades and lost 27.582 USDT; full shared profit fell by 57.318 USDT versus V12.22 and DD rose by 2.40 points.","Retain the immutable V12.23 LTC route and all V12.22 rules; add only an initial LTC allocation gate in custom_stake_amount requiring zero open trades. LTC may coexist with two positions opened later.","LTC 3y must reproduce V12.23 within 0.01 USDT and remain positive with 21 trades; shared profit must exceed V12.22 +280.7752 PF at least 2.0230 DD at most 16.07; LTC shared contribution positive; no previously positive V12.22 pair turns negative; all safety tests pass.","Independent LTC parity passed, but shared profit was +223.457 USDT with PF 1.73 and 18.47 percent DD; LTC itself became -27.582 in the shared chronology.","REJECT_DO_NOT_PROMOTE","A coarse entry-time slot gate changes which subset of an otherwise profitable route trades; the admitted subset can have negative expectancy and does not repair portfolio displacement.","Restore exact V12.22 active source. Diagnose the next weak route separately; do not retune this LTC route or its slot gate on the viewed window."
"V12.25-BCH-EMA30-80-MACRO100","V12.22-SOL-ADX21","V12.25","5b4ac18b86d38a86114a67955bd5b452c52526211513a880f8de2f86bce92c5d","bch_4h_ema30_cross_ema80_above_rising_ema100_adx24","Replacing only BCH's losing Donchian route with the sole chronological screen survivor should create positive BCH expectancy without altering the other nine pair routes.","ABORTED_TECHNICAL_PRE_SIMULATION","2026-08-24","V12.22 exact BCH and shared 3y results plus fixed-family chronological screen","exact runner stopped during indicator construction","no financial output generated","BCH/USDT","0.002",,,,,,"ABORT - BCH EMA BASE COLUMNS WERE WIRED TO 1H INSTEAD OF 4H","Freqtrade stopped before backtesting with KeyError bch_ema_fast while populate_indicators_4h constructed the cross. No trades or financial metrics were produced.","Replace BCH Donchian entry and exit only with EMA30/EMA80 cross above rising EMA100 and ADX24; preserve exact V12.22 SOL and every capital risk protection and dry-run rule.","BCH 3y at least 15 trades positive PF above 1 DD below 12.52 and at least +35 USDT versus V12.22; BCH 1y positive with at least 3 trades; 0.3-percent fee stress positive; shared profit above 280.7752 PF at least 2.0230 DD at most 16.07; no positive pair turns negative; all safety tests pass.","No result: strategy initialization failed before simulation.","ABORT_TECHNICAL_NO_FINANCIAL_RESULT","Registered candidates remain immutable even after a pre-simulation wiring error; the corrected source needs a new version and hash.","V12.26: move the BCH EMA base columns from the 1h decorator to the 4h decorator without changing the preregistered trading hypothesis."
"V12.26-BCH-EMA30-80-MACRO100-FIX","V12.25-BCH-EMA30-80-MACRO100","V12.26","ba7752f8b03600cb244bab6b291e7200d56f6d6e14620ede6f6edd6443b10634","bch_4h_ema30_cross_ema80_above_rising_ema100_adx24_correct_decorator","Moving only the BCH EMA base columns into the 4h informative decorator should make the preregistered V12.25 hypothesis executable without changing its trading decisions or acceptance gates.","REJECT_BACKTEST_SYSTEM_GATE","2026-08-24","same fixed-family BCH screen and V12.22 comparators as V12.25","exact BCH 1y and 3y; 0.3-percent fee stress; exact shared ten-pair 250-USDT portfolio","shared portfolio drawdown gate after isolated validation","BTC/USDT;ETH/USDT;SOL/USDT;XRP/USDT;BNB/USDT;DOGE/USDT;LINK/USDT;TRX/USDT;LTC/USDT;BCH/USDT","0.002",146,317.4508,2.0892,0.4236,16.4717,"REJECT - PROFIT AND PF IMPROVED BUT PREREGISTERED DRAWDOWN CEILING FAILED","BCH exact 3y +25.398 USDT 20 trades PF1.54 DD11.21%; exact 1y +3.012 8 trades PF1.16; 0.3-percent fee stress +22.426 PF1.45. Shared BCH +22.154 and total +317.451, but DD rose above the fixed 16.07-percent ceiling.","Retain the exact V12.25 hypothesis thresholds entry exit and risk rules; move three BCH EMA calculations from populate_indicators_1h to populate_indicators_4h and update version-specific tags.","BCH 3y at least 15 trades positive PF above 1 DD below 12.52 and at least +35 USDT versus V12.22; BCH 1y positive with at least 3 trades; 0.3-percent fee stress positive; shared profit above 280.7752 PF at least 2.0230 DD at most 16.07; no positive pair turns negative; all safety tests pass.","Isolated gates passed. Shared profit improved by +36.676 USDT and PF by 0.0662; no positive pair flipped, but closed drawdown was 16.4717 percent and exceeded the fixed 16.07 ceiling by 0.4017 points.","REJECT_DO_NOT_PROMOTE","A profitable pair replacement can still slightly worsen portfolio drawdown. Fixed risk gates must not be relaxed after seeing an attractive profit result; the route is a documented non-active challenger.","Restore exact V12.22. Do not retune BCH on the viewed window; inspect a different low-output pair with a separately preregistered hypothesis."
"V12.27-TRX-DONCHIAN40-MACRO200","V12.22-SOL-ADX21","V12.27","a47396306f6b15c1cbc4f6e1c7339d8e494092e101fb858f2258c7c67bbd5544","trx_4h_donchian40_exit40_above_rising_ema200_momentum30_positive","Replacing only TRX's sparse 120/60 Donchian route with the conservative point of a broad 40/40 macro-trend plateau should materially increase valid TRX participation while preserving positive expectancy and controlled risk.","REJECT_BACKTEST_PAIR_RISK_GATE","2026-08-24","V12.22 exact TRX and shared 3y results plus fixed-family chronological screen","exact TRX 3y; later gates skipped after fixed DD failure","shared portfolio not run because isolated risk gate failed","TRX/USDT","0.002",32,165.512,2.52,0.17,15.79,"REJECT - PROFIT AND ACTIVITY PASSED BUT ISOLATED DRAWDOWN EXCEEDED TEN PERCENT","Exact TRX produced +165.512 USDT with 32 trades and PF2.52, but closed DD was 15.79 percent. Average stake was 187.477 USDT because the old TRX pyramiding eligibility applied to the new denser route; four trailing-stop exits lost 47.038 USDT.","Replace TRX entry and exit only with a 4h close cross above prior 40-bar high while above a rising EMA200 and positive 30-day momentum; exit below prior 40-bar low; preserve exact V12.22 for all other pairs and all risk rules.","TRX 3y at least 20 trades at least +40 USDT PF above 1.3 DD at most 10; TRX 1y positive with at least 5 trades; 0.3-percent fee stress positive PF above 1.3; shared profit above 280.7752 PF at least 2.0230 DD at most 16.07; no positive pair turns negative; all safety tests pass.","Activity profit and PF passed. The fixed ten-percent isolated DD ceiling failed at 15.79 percent, so shorter cost and shared gates were not run.","REJECT_DO_NOT_PROMOTE","A pyramiding eligibility proven on the old sparse route does not automatically transfer to a denser replacement route. Exact capital allocation must be revalidated with each route.","V12.28: retain exact TRX40 route and remove only TRX from PYRAMIDING_PAIRS; preserve the three global slots and all other pair eligibility."
